Epoch,Train_Loss,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_AUC,Threshold,Learning_Rate
1,0.097657,2.199229,0.686892,0.614420,0.999859,0.761124,0.982387,0.9500,0.00100000
2,0.039250,0.029553,0.991257,0.989206,0.993314,0.991255,0.999271,0.2000,0.00100000
3,0.026431,0.017936,0.996032,0.995988,0.996059,0.996024,0.999881,0.9000,0.00100000
4,0.017949,0.123517,0.985533,0.979761,0.991484,0.985587,0.999122,0.9500,0.00100000
5,0.015953,0.010359,0.996945,0.997043,0.996833,0.996938,0.999919,0.3000,0.00100000
6,0.013773,0.021657,0.996875,0.998165,0.995566,0.996864,0.999947,0.0500,0.00100000
7,0.011169,0.007012,0.998104,0.997889,0.998311,0.998100,0.999948,0.7500,0.00100000
8,0.009607,0.023558,0.997788,0.996490,0.999085,0.997786,0.999901,0.9500,0.00100000
9,0.010137,0.173883,0.981987,0.968461,0.996340,0.982203,0.999448,0.9500,0.00100000
10,0.008401,0.035994,0.996138,0.993627,0.998663,0.996139,0.999908,0.9500,0.00100000
11,0.008042,0.112176,0.983778,0.977491,0.990287,0.983847,0.998979,0.9500,0.00100000
12,0.006917,0.010729,0.998279,0.998591,0.997959,0.998275,0.999958,0.9000,0.00100000
13,0.006320,0.036334,0.996418,0.994462,0.998381,0.996418,0.999942,0.9500,0.00100000
14,0.005915,0.008417,0.997893,0.998239,0.997537,0.997888,0.999950,0.8500,0.00100000
15,0.005830,0.028942,0.994944,0.994237,0.995636,0.994936,0.999900,0.9500,0.00100000
16,0.005230,0.291500,0.962709,0.934550,0.994932,0.963796,0.997989,0.9500,0.00100000
17,0.004748,0.091828,0.989677,0.981520,0.998100,0.989740,0.999730,0.9500,0.00100000
18,0.004315,0.207432,0.975737,0.953743,0.999859,0.976257,0.999958,0.9500,0.00050000
19,0.002886,0.008149,0.998209,0.998310,0.998100,0.998205,0.999979,0.9000,0.00050000
20,0.002101,0.002980,0.999403,0.999367,0.999437,0.999402,0.999985,0.4500,0.00050000
21,0.002191,0.006170,0.999052,0.998874,0.999226,0.999050,0.999984,0.8500,0.00050000
22,0.002245,0.093487,0.990941,0.982432,0.999718,0.991000,0.999868,0.9500,0.00050000
23,0.002115,0.040092,0.996243,0.993283,0.999226,0.996246,0.999962,0.9500,0.00050000
24,0.002359,0.002975,0.999333,0.999085,0.999578,0.999332,0.999992,0.6500,0.00050000
25,0.001713,0.003662,0.999298,0.999648,0.998944,0.999296,0.999992,0.9500,0.00050000
26,0.001832,0.005660,0.999298,0.999226,0.999367,0.999296,0.999990,0.9500,0.00025000
27,0.001162,0.001843,0.999684,0.999859,0.999507,0.999683,0.999996,0.6500,0.00025000
28,0.000808,0.002458,0.999649,0.999648,0.999648,0.999648,0.999997,0.9000,0.00025000
29,0.001056,0.003661,0.999333,0.999085,0.999578,0.999332,0.999997,0.8000,0.00025000
30,0.000681,0.002858,0.999579,0.999507,0.999648,0.999578,0.999996,0.4000,0.00025000
31,0.000960,0.003721,0.999508,0.999437,0.999578,0.999507,0.999996,0.9500,0.00025000
32,0.001025,0.006119,0.999157,0.998804,0.999507,0.999156,0.999996,0.9500,0.00025000
33,0.000725,0.004048,0.999438,0.999367,0.999507,0.999437,0.999997,0.9500,0.00012500
34,0.000446,0.008926,0.998911,0.998173,0.999648,0.998910,0.999996,0.9500,0.00012500
35,0.000342,0.002664,0.999684,0.999718,0.999648,0.999683,0.999994,0.5500,0.00012500
36,0.000609,0.058583,0.993399,0.987483,0.999437,0.993424,0.999959,0.9500,0.00012500
37,0.000218,0.003461,0.999614,0.999648,0.999578,0.999613,0.999958,0.9500,0.00012500
38,0.000464,0.003157,0.999649,0.999718,0.999578,0.999648,0.999956,0.8500,0.00012500
39,0.000489,0.005996,0.999298,0.998875,0.999718,0.999296,0.999992,0.9500,0.00006250
40,0.000379,0.010543,0.998631,0.997682,0.999578,0.998629,0.999986,0.9500,0.00006250
41,0.000560,0.002867,0.999719,0.999718,0.999718,0.999718,0.999992,0.8000,0.00006250
